name,keyword,location,size
Parsons and Associates Electrical 1976 Ltd,electricians,Wellington,5 - 49 Employees
Linework and Stones Limited,electricians,Wellington,100 - 499 Employees
Stones Electrical Contractors Ltd,electricians,Wellington,5 - 49 Employees
Clarkson Electrical Ltd,electricians,Wellington,5 - 49 Employees
Gael Switchboards Wellington Limited,electricians,Wellington,5 - 49 Employees
CDR Electrical Ltd,electricians,Wellington,5 - 49 Employees
Wells Instrument & Electrical Ltd,electricians,Wellington,""
Brien Electrical Ltd,electricians,Wellington,5 - 49 Employees
Laser Electrical - Wellington North,electricians,Wellington,0 - 4 Employees
Laser Electrical - Wellington South,electricians,Wellington,0 - 4 Employees
Toomey Electrical Limited,electricians,Wellington,0 - 4 Employees
Key Electrical Ltd,electricians,Wellington,5 - 49 Employees
Laser Electrical Paraparaumu,electricians,Wellington,0 - 4 Employees
Buck Electrical LTD,electricians,Wellington,0 - 4 Employees
Kowhai Electrical,electricians,Wellington,0 - 4 Employees
Kay Communications Ltd,electricians,Wellington,5 - 49 Employees
Innovate Electrical,electricians,Wellington,0 - 4 Employees
C. S. Morgon Electrical Ltd,electricians,Wellington,""
McKenzie Carpet Court,electricians,Wellington,5 - 49 Employees
Fusion Electrical Limited,electricians,Wellington,5 - 49 Employees
Greytown Electrical Services 04,electricians,Wellington,0 - 4 Employees
J & N Pye Electrical Contractor Ltd,electricians,Wellington,0 - 4 Employees
Absolute Electric Ltd,electricians,Wellington,0 - 4 Employees
James Logan Electrical Ltd,electricians,Wellington,0 - 4 Employees
Hanson & Hickling,electricians,Wellington,0 - 4 Employees
Payne Don Ltd,electricians,Wellington,""
Mudge Electrical Irrigation Ltd,electricians,Wellington,0 - 4 Employees
Aim Electrical Services Ltd,electricians,Wellington,5 - 49 Employees
Dees Electrical,electricians,Wellington,""
Meo Paul Electrical,electricians,Wellington,0 - 4 Employees
Stewart & Rogers Electrical Ltd,electricians,Wellington,5 - 49 Employees
Mahan Electrical,electricians,Wellington,""
Thompson Electrical Services Ltd,electricians,Wellington,5 - 49 Employees
Newson Electrical Ltd,electricians,Wellington,5 - 49 Employees
Design Electrical Ltd,electricians,Wellington,0 - 4 Employees
Bay Electrical Ltd,electricians,Wellington,5 - 49 Employees
Contact Electrical Ltd,electricians,Wellington,0 - 4 Employees
M W Electrical Ltd,electricians,Wellington,0 - 4 Employees
MBE Services Ltd,electricians,Wellington,""
John Hudson Electrical,electricians,Wellington,0 - 4 Employees
Expert Electrical Ltd,electricians,Wellington,0 - 4 Employees
Ship & Shore Electrical,electricians,Wellington,0 - 4 Employees
Dave Stone Electrical,electricians,Wellington,0 - 4 Employees
Electrical Services Plus,electricians,Wellington,0 - 4 Employees
Topline Electrical & Security Ltd,electricians,Wellington,5 - 49 Employees
Dunne Electrical,electricians,Wellington,0 - 4 Employees
Siegmund & Associates Ltd,electricians,Wellington,5 - 49 Employees
XTC Electrical,electricians,Wellington,0 - 4 Employees
Wil & Co. Electrical Ltd,electricians,Wellington,0 - 4 Employees
Peak Electrical,electricians,Wellington,5 - 49 Employees
Hannaway Electrical Ltd,electricians,Wellington,0 - 4 Employees
Frye L A Ltd,electricians,Wellington,0 - 4 Employees
Hugh Baird,electricians,Wellington,0 - 4 Employees
Coffey Electrical,electricians,Wellington,0 - 4 Employees
Skinner Electrical 2003 Ltd,electricians,Wellington,0 - 4 Employees
Just Electric,electricians,Wellington,0 - 4 Employees
Yardley Electrical Services 1999 Ltd,electricians,Wellington,0 - 4 Employees
Service Electrical Ltd,electricians,Wellington,0 - 4 Employees
Trevor Osten Electrical Ltd,electricians,Wellington,0 - 4 Employees
Master Electrician Co NZ,electricians,Wellington,5 - 49 Employees
Scott Carroll Electrical Ltd,electricians,Wellington,""
Power Construction & Lighting Ltd,electricians,Wellington,5 - 49 Employees
Hempleman Electrix,electricians,Wellington,""
Dobson Electrical Ltd,electricians,Wellington,0 - 4 Employees
R D Electrical,electricians,Wellington,0 - 4 Employees
Rolinson Electrical Ltd,electricians,Wellington,0 - 4 Employees
Ray Bush Electrical,electricians,Wellington,0 - 4 Employees
Hardie Electrical Ltd,electricians,Wellington,0 - 4 Employees
Devenport Electrical,electricians,Wellington,5 - 49 Employees
A C Electrical Wellington Ltd,electricians,Wellington,""
Upper Hutt Electrical Services Company Ltd,electricians,Wellington,0 - 4 Employees
Graeme Richardson Electrical,electricians,Wellington,0 - 4 Employees
G & D Ditchwitch,electricians,Wellington,5 - 49 Employees
Ryan P G Electrical Ltd,electricians,Wellington,0 - 4 Employees
ECANZ,electricians,Wellington,5 - 49 Employees
R H Garrett,electricians,Wellington,0 - 4 Employees
Scott Electrical,electricians,Wellington,0 - 4 Employees
Ian Maclean Ltd,electricians,Wellington,""
AA Electrical NZ Ltd,electricians,Wellington,0 - 4 Employees
Hutt Electrical Service Co. Ltd,electricians,Wellington,5 - 49 Employees
